04N.FANNY
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
18/06   40      LO      20      1006      7.4     82.0    1
18/12   60      LO      25      1004      8.1     81.8    2
18/18   80      LO      30      1002      8.7     81.6    3
19/00   99      05      35      1000      9.3     81.6    4
19/06   99      15      40      998       9.8     81.6    5
19/12   99      25      40      997       10.3    82.0    6
19/18   99      30      45      994       10.7    82.4    7
20/00   99      40      50      990       11.1    82.3    8
20/06   99      50      60      986       11.5    81.9    9
20/12   99      80      70      980       11.9    81.7    10
20/18   99      99      75      977       12.3    81.8    11
21/00   99      99      75      976       12.4    82.9    12
21/06   99      99      85      966       12.5    84.3    13
