01H.QANAAQ-ALAN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
04/06   50      LO      30      1012     5.7     8.2     1
04/12   70      LO      30      1010     5.7     7.2     2
04/18   80      LO      35      1008     5.7     6.1     3
05/00   99      00      35      1006     6.2     5.2     4
05/06   99      07      40      1004     6.6     4.4     5
05/12   99      13      40      1002     6.9     3.7     6
05/18   99      17      45      1000     7.1     3.2     7
06/00   99      25      50       998     7.3     2.7     8
06/06   99      33      50       996     7.5     2.2     9
06/12   99      52      60       994     7.5     1.8     10
06/18   99      99      70       990     7.5     1.3     11
07/00   99      99      75       986     7.4     0.6     12
07/06   99      99      90       976     7.3    -0.1     13
07/12   99      99      110      960     7.3    -0.6     14
07/18   99      99      115      955     7.2    -1.1     15
08/00   99      99      120      956     7.3    -1.7     16
08/06   99      99      120      956     7.2    -2.4     17
08/12   99      99      120      956     7.2    -3.1     18
08/18   99      99      125      953     7.1    -3.8     19
09/00   99      99      140      946     7.2    -4.5     20
09/06   99      99      150      939     7.1    -5.2     21
09/12   99      99      160      931     7.0    -5.8     22
+12     08    	00    	180    	 915  	 6.9  	-7.1     -
+24     12    	00    	185    	 910  	 6.9  	-8.4     -
+36     15    	00    	185    	 910  	 6.9  	-9.7     -
+48     17    	00    	180    	 915  	 6.9   -11.0     -
+72     18    	00    	175    	 920  	 7.0   -13.6     -
+96     18    	00    	165    	 925  	 7.0   -16.2     -
+120    18    	00    	165    	 925  	 7.0   -18.8     -
