02H.BERTHA
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
14/00   10      LO      25      1014     1.2    -48.0   1
14/06   30      LO      25      1012     0.9    -48.5   2
14/12   50      LO      30      1012     0.8    -49.0   3
14/18   80      LO      30      1010     0.7    -49.6   4
15/00   90      LO      30      1008     0.8    -50.3   5
15/06   99      00      35      1006     1.3    -51.1   6
15/12   99      00      40      1004     1.8    -51.9   7
15/18   99      00      40      1003     1.8    -52.9   8
16/00   99      00      45      1001     2.1    -53.7   9
16/06   99      03      50       999     2.4    -54.5   10
16/12   99      05      50       998     3.1    -55.7   11
16/18   99      07      45      1002     3.8    -56.3   12
17/00   99      07      35      1006     4.4    -56.8   13
17/06   99      07      35      1005     4.7    -57.4   14
17/12   99      07      40      1003     5.0    -58.0   15
17/18   99      07      45      1001     5.4    -58.3   16
18/00   99      07      50      1000     5.8    -58.5   17
18/06   99      07      60       998     6.2    -58.7   18
+12     08    	00    	65    	 996  	 6.9    -59.2   -
+24     12    	00    	60    	 998  	 7.5    -59.4   -
+36     15    	00    	50    	1002  	 7.9    -59.4   -
+48     17      00      35      1006     8.1    -59.4   -
+72     12    	00    	30    	1008  	 8.5    -59.4   -
+96     15    	00    	35    	1006  	 9.3    -59.7   -
+120    17      00      50      1000     9.9    -60.8   -
