09N.ISAAC
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
23/18   90      SD      30      995     35.5     72.4     1
24/00   100     SS      50      990     36.2     73.6     2
24/06   100     40      80      985     37.2     79.6     3
24/12   100     50      100     970     40.2     80.4     4
24/18   100     60      110     950     40.7     81.4     5
25/00   100     70      130     950     41.4     81.6     6
25/06   100     80      130     949     42.5     82.1     7
25/12   100     100     130     948     44.5     82.4     8
25/18   100     100     130     948     47.4     83.0     9
26/00   100     100     145     948     49.4     83.4     10
26/06   100     90      130     960     50.2     83.7     11
26/12   100     60      90      989     52.5     83.9     12
26/18   100     40      50      995     54.5     84.0     13

