21N.ULMA
Date  	TS    	HU    	Wind    Press	   Lat	  Long
15/06   100     00      35      1000	   10.2   59.8    1
15/12   100     30      35      996      10.9   60.5    2
15/18   100     50      40      993      11.4   61.6    3
16/00   100     70      50      990      12.0   62.6    4
16/06   100     90      65      989      12.7   64.0    5
16/12   100     100     60      990      13.5   66.0    6
16/18   100     90      65      989      15.0   69.1    7
17/00   100     80      65      985      17.0   72.5    8
17/06   100     85      65      984      19.6   72.6    9
17/12   100     90      65      985      21.5   72.7    10
17/18   100     95      65      988      26.4   72.7    11
18/00   100     100     65      986      27.5   72.6    12
18/06   100     90      70      981      31.0   71.5    13
18/12   100     80      65      985      34.0   71.0    14
18/18   100     70      70      984      38.0   70.7    15
19/00   100     60      65      988      39.5   69.2    16
19/06   90      40      50      991      40.5   67.9    17
19/12   80      30      45      995      41.7   66.4    18
+12     X       BE      40      998      44.0   63.4    -
+24     X       BE      35      999      49.9   59.9    -
+48     X       BE      35      1000     54.7   52.0    -
+72     X       EX      30      1004     62.4   42.0    -
+96     X       EX      25      1007     71.2   38.5    -
+120    X       EX      20      1010     82.0   29.0    -
