26N.ZELDA
Date  	TS    	HU    	Wind    Press	   Lat	  Long
01/06   90      10      35      1005     18.0   57.9    1
01/12   90      10      35      1001     18.9   59.2    2
01/18   100     20      40      999      19.4   61.0    3
02/00   100     40      45      996      20.2   63.5    4
02/06   100     60      60      991      20.8   65.7    5
02/12   100     70      70      987      21.9   67.4    6
02/18   100     70      70      985      23.4   69.0    7
03/00   100     80      60      987      24.0   70.6    8
03/06   100     80      60      990      26.4   72.9    9
03/12   100     80      60      992      27.9   75.4    10
03/18   100     80      50      994      28.9   77.2    11
04/00   100     60      50      996      30.4   79.5    12
04/06   100     50      45      998      31.0   80.4    13
04/12   90      40      40      1000     31.4   81.5    14
04/18   85      35      40      1001     31.7   82.3    15
05/00   80      30      40      1004     32.6   83.9    16
05/06   60      10      25      1006     33.0   84.0    17
05/12   40      BE      20      1010     35.5   85.0    18
+6      X       X       15      1011     38.9   86.4    -
+12     X       X       10      1014     42.8   90.5    -
