26N.ZELDA
Date  	TS    	HU    	Wind    Press	   Lat	  Long
01/06   90      10      35      1005     18.0   57.9    1
01/12   90      10      35      1001     18.9   59.2    2
01/18   100     20      40      999      19.4   61.0    3
02/00   100     40      45      996      20.2   63.5    4
02/06   100     60      60      991      20.8   65.7    5
02/12   100     70      70      987      21.9   67.4    6
02/18   100     70      70      985      23.4   69.0    7
03/00   100     80      60      987      24.0   70.6    8
03/06   100     80      60      990      26.4   72.9    9
03/12   100     80      60      992      27.9   75.4    10
03/18   100     80      50      994      28.9   77.2    11
04/00   100     60      50      996      30.4   79.5    12
+12     X       X       45      998      32.4   80.4    -
+24     X       X       40      998      34.8   82.5    -
+48     X       X       35      996      37.4   85.0    -
+72     X       X       30      995      39.0   88.7    -
+96     X       X       25      994      41.7   91.9    -
+120    X       X       15      990      45.8   94.0    -
