14H.GARRY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
04/18   20      10      30      1007     11.8    81.2      1
05/00   30      20      35      1006     12.2    81.8      2
05/06   40      30      40      1002     12.3    82.5      3
05/12   60      42      45      999      12.5    83.7      4
05/18   70      60      65      980      12.8    84.2      5
06/00   80      65      70      980      12.9    84.9      6
06/06   90      70      80      974      13.2    85.8      7
06/12   99      80      90      970      15.4    86.7      8
06/18   100     90      100     964      16.5    88.4      9
07/00   100     95      110     944      18.2    89.6      10
07/06   100     97      115     939      19.5    90.7      11
07/12   100     98      120     932      19.6    91.5      12
07/18   100     99      130     915      19.7    92.4      13
08/00   100     100     135     910      20.0    93.7      14
08/06   100     99      135     914      20.5    94.5      15
08/12   100     98      135     916      20.7    95.6      16
08/18   100     94      135     918      21.4    96.3      17
09/00   100     82      135     940      22.2    97.4      18
09/06   90      70      120     950      23.4    98.2      19 
09/12   80      50      100     955      24.7    99.4      20
+12     70    	50    	90    	926   	 27.2    98.7      -
+24     60    	46    	80    	940  	   28.8    99.4      -
+48     50    	30    	70    	970    	 30.7    100.5      -
+72     40      10    	50    	990    	 34.3    101.4     -
+96     30    	00    	40    	999    	 40.4    105.7      -
+120    10    	EX    	30    	1000     52.4    115.8      -
