11N.KATEN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
28/12   40      05      30      1003     17.2    89.2     1
28/18   40      05      30      1005     18.4    90.5     2
29/00   50      10      40      1005     19.5    92.6     3
29/06   50      10      50      1003     20.9    93.7     4
29/12   50      20      60      995      22.5    95.2     5
29/18   55      20      70      993      24.5    96.7     6
30/00   60      40      75      990      25.2    97.5     7
30/06   70      40      70      992      26.7    99.2     8
30/12   60      30      50      995      27.8    100.5    9
30/18   40      20      40      997      29.3    100.4    10
31/00   30      00      40      999      30.2    101.3    11
+12     20      20      35      1000     31.9    100.4     -
+24     10      30      30      1006     32.2    99.5     -
+48     05      EX      25      1010     34.6    98.2     -

