11N.KATEN
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
28/12   40      05      30      1003     17.2    89.2     1
28/18   40      05      30      1005     18.4    90.5     2
29/00   50      10      40      1005     19.5    92.6     3
29/06   50      10      50      1003     20.9    93.7     4
29/12   50      20      60      995      22.5    95.2     5
+12     60      20      60      994      24.9    97.4     -
+24     70      30      70      990      26.2    98.5     -
+48     80      50      60      995      28.6    98.2     -
+72     90      60      50      999      30.5    96.2     -
+96     100     EX      45      1000     31.6    93.2     -
+120    100     EX      30      1010     32.6    91.3     -
