30N.GAMMA
Date  	TS    	HU    	Wind    Press	    Lat	  Long
18/18   90      00      35      999       11.2  79.7    1
19/00   100     30      45      995       12.0  80.1    2
19/06   100     60      60      990       12.4  81.3    3
19/12   100     100     75      985       13.5  84.6    4
19/18   100     100     90      979       15.0  88.9    5
20/00   100     100     110     968       15.6  89.2    6
20/06   100     100     125     955       16.7  91.3    7
20/12   100     100     145     937       18.4  93.7    8
20/18   100     100     165     918       19.3  93.9    9
21/00   100     100     175     908       20.0  94.5    10
21/06   100     100     185     900       20.6  94.9    11
21/12   100     100     185     896       21.0  94.6    12
21/18   100     100     190     888       21.5  94.4    13
22/00   100     100     195     875       21.7  94.4    14
22/06   100     100     195     860       21.6  94.8    15
22/12   100     100     195     859       21.5  93.9    16
22/18   100     100     195     861       21.8  94.4    17
23/00   100     100     190     878       22.1  95.7    18
23/06   100     100     185     892       22.4  96.7    19
23/12   100     100     180     899       22.8  97.9    20
23/18   100     100     175     905       23.0  98.1    21
24/00   100     100     165     908       23.4  97.9    22
+12     X       X       155     915       24.7  97.6    -
+24     X       X       130     930       27.9  95.1    -
+48     X       X       110     950       31.6  91.5    -
+72     X       X       85      985       36.6  83.9    -
+96     X       X       60      991       44.4  74.4    -
+120    X       X       40      997       53.6  68.5    -
