10N.JANINE
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
28/06   60      20      30      1003     6.2     97.3     1
28/12   80      30      30      1003     7.0     98.5     2
28/18   80      30      40      1000     7.4     99.7     3
29/00   100     40      50      996      7.9     100.4    4
29/06   100     60      60      991      8.7     102.6    5
29/12   100     60      70      989      10.2    105.4    6
29/18   100     80      105     975      11.7    107.5    7
30/00   100     100     115     960      13.7    108.6    8
30/06   100     100     120     950      15.1    107.4    9
30/12   100     100     140     930      15.8    105.4    10
30/18   100     100     155     910      17.6    103.2    11
31/00   100     100     165     895      18.4    100.2    12
31/06   100     100     175     880      18.8    99.6     13
31/12   100     100     185     879      19.2    96.5     14
31/18   100     100     190     875      19.7    94.6     15
01/00   100     100     185     878      19.5    92.5     16
01/06   100     100     160     890      19.4    90.2     17
01/12   100     100     175     885      19.7    88.9     18
01/18   100     100     185     875      19.8    85.7     19
02/00   100     100     180     890      20.5    84.2     20
02/06   100     100     180     900      22.7    80.6     21
02/12   100     100     165     913      24.6    77.4     22
02/18   100     100     140     930      26.5    74.2     23
03/00   100     100     130     945      29.6    71.7     24
03/06   100     100     120     949      30.5    70.9     25
03/12   100     100     115     955      30.7    69.5     26
03/18   100     100     115     959      31.2    66.6     27
04/00   100     100     120     940      31.5    64.2     28
04/06   100     100     130     935      31.7    62.2     29
04/12   100     100     140     932      31.7    61.1     30
04/18   100     100     140     930      31.9    60.6     31
05/00   100     100     130     940      32.1    60.1     32
05/06   100     100     130     950      32.4    59.1     33
05/12   100     100     120     960      32.5    57.6     34
05/18   100     100     135     935      33.1    53.6     35
+12     100     100     140     930      33.2    52.2     -
+24     100     100     150     920      33.2    49.4     -
+48     100     100     160     910      33.6    45.2     -
+72     100     100     165     905      34.5    38.6     -
+96     100     100     170     900      34.6    30.2     -
+120    100     100     175     900      35.2    22.4     -
