24N.XAVIER
Date  	TS    	HU    	Wind    Press	   Lat	  Long
29/06   100     20      35      1005     5.1    54.2    1  
29/12   100     30      35      1002     5.2    55.1    2
29/18   100     50      40      1000     5.3    56.1    3
30/00   100     70      50      990      5.6    57.5    4
30/06   100     90      65      986      5.8    58.1    5
30/12   100     100     75      983      6.0    59.5    6
30/18   100     100     85      980      6.2    60.4    7
31/00   100     100     90      978      6.4    61.4    8
31/06   100     100     105     973      6.7    62.0    9
31/12   100     100     115     969      7.0    62.8    10
+12     X       X       90      970      7.3    64.0    -
+24     X       X       115     962      7.7    66.1    -
+48     X       X       145     949      8.2    69.2    -
+72     X       X       160     920      8.6    74.0    -
+96     X       X       165     911      8.9    79.6    -
+120    X       X       160     919      9.2    85.6    -
