14G.WANDA
Date	  TS  	HU  	mph  	Press  	Lat	   Lon	
13/12   39    22     30     1004    7.8   -94.7
13/18   56    32     35     1002    8.0   -95.0
14/00   68    41     35     1000    8.1   -95.1
14/06   73    44     40     998     8.2   -95.2
14/12   77    53     45     994     8.3   -95.3
14/18   82    58     50     991     8.5   -95.4
15/00   93    67     65     986     8.9   -95.7
15/06   94    71     70     983     9.3   -95.9
15/12   96    77     80     979     9.7   -96.3
15/18   97    84    105     966     10.2  -96.7
16/00   97    85    110     962     10.4  -96.9
16/06   98    85    115     958     10.7  -97.0
16/12   98    86    130     949     11.1  -97.4
16/18   98    88    140     942     11.5  -97.6
17/00   99    89    150     936     11.9  -97.8
17/06   99    90    145     936     12.4  -98.0
17/12   99    92    155     930     13.0  -98.2
17/18   99    93    155     926     13.9  -98.4
18/00   99    94    165     917     14.5  -98.6
18/06   99    94    165     916     15.3  -98.7
18/12   99    92    165     913     16.2  -98.9
18/18   99    91    165     915     16.6  -99.0
19/00   99    90    160     918     17.3  -99.1
19/06   99    89    160     919     17.8  -99.0
19/12   99    88    155     922     18.3  -99.4
19/18   99    88    155     922     18.5  -99.3
20/00   98    88    155     923     19.0  -99.4
20/06   97    85    150     924     19.4  -99.5
20/12   97    84    150     926     19.8  -99.5
20/18   96    82    145     929     20.3  -99.5
21/00   95    80    145     931     20.8  -99.5
21/06   92    77    140     933     22.1  -99.6
21/12   89    73    130     936     23.5  -99.9
21/18   88    69    130     937     24.9  -99.8
22/00   88    65    125     939     26.6  -99.7
+12     x     x     120     945     29.3  -99.4
+24     x     x     115     951     31.5  -98.8
+36     x     x     115     954     32.8  -97.3
+48     x     x     105     962     34.4  -94.7
+72     x     BE    90      968     35.6  -93.5
+96     x     EX    75      975     36.3  -91.8
+120    x     EX    50      986     37.4  -89.8
